C2tot,C1dil,C1tot
0,0.97082106,1
1,1.07077782,1
2,0.95930239,1
3,0.93347495,1
4,0.5227126,1
5,0.34387478,1
6,0.29227591,1
0,2.11096722,2
1,1.89100399,2
2,1.80713966,2
3,1.1600512,2
4,0.79188949,2
5,0.48475542,2
6,0.39797116,2
