Ctot,Cdil,PS
0.91178,0.68839,No
1.33862,1.27644,No
0.68851,0.685,No
0.60164,0.57026,No
0.48417,0.45836,No
0.23229,0.15054,No
1.15034,1.27009,No
0.87714,0.94839,No
1.07641,1.01118,No
0.62017,0.6288,No
0.47574,0.51025,No
0.79074,0.80176,No
0.53857,0.53689,No
0.86905,0.84918,No
0.81352,0.6689,No
0.43254,0.49536,No
0.60394,0.46085,No
0.45133,0.48563,No
0.53595,0.44156,No
0.30628,0.36606,No
0.47208,0.53574,No
0.53503,0.56003,No
0.52634,0.46956,No
0.68276,0.64268,No
0.53049,0.5234,No
0.77713,0.77396,No
1.29756,1.35601,No
1.28027,1.3345,No
0.80576,0.92007,No
0.77984,0.79186,No
1.21446,1.29936,No
1.37634,1.22598,No
0.62178,0.63217,No
0.45755,0.55948,No
1.06558,0.97837,No
0.90629,0.74642,No
0.66531,0.72014,No
0.73279,0.77143,No
1.53935,1.55454,No
2.06028,0.93988,Yes
1.38068,1.22323,Yes
3.02497,1.46846,Yes
2.78679,1.36365,Yes
2.96177,1.52761,Yes
2.87848,1.29541,Yes
1.9937,1.39598,Yes
2.5818,1.29836,Yes
2.33292,1.29704,Yes
1.79782,1.36825,Yes
1.5218,1.43442,Yes
1.88141,1.46826,Yes
