Ctot,Cdil
2.16288,1.50157
1.9995,1.82977
4.3567,1.43858
3.76333,1.63899
0.150894,0.128886
0.112603,0.130039
0.646157,0.351577
0.411104,0.162275
0.354201,0.215125
0.730605,0.592925
0.684423,0.56094
0.223906,0.209295
0.448216,0.503748
0.296375,0.303625
0.685663,0.731959
0.603182,0.453294
0.649478,0.575587
0.894292,0.741261
0.326055,0.183524
2.68307,1.41569
2.13081,1.55278
5.63146,1.91906
5.42587,1.33735
7.86474,2.01668
6.425,1.87073
0.143515,0.164766
0.142282,0.167887
0.255165,0.364573
1.11388,1.04518
0.851306,0.844342
0.543923,0.531846
0.3521,0.416732
0.808849,0.72159
0.467595,0.623225
1.2695,1.05784
1.2802,1.15101
0.927622,0.949943
0.384333,0.489918
