C2tot,C1dil,C1tot
0,1.05273738,1
1,1.02559892,1
4,0.97942814,1
5,0.9428065,1
6,0.77624811,1
7,0.3780743,1
8,0.25671493,1
0,2.09772102,2
1,1.99656665,2
4,1.90681734,2
5,1.43305537,2
6,0.89727776,2
6.5,0.70881234,2
7.2,0.50961387,2
